Time(s),Ch4
1.195,-0.0486374
1.196,-0.0469208
1.197,-0.0449181
1.198,-0.0426293
1.199,-0.0409126
1.2,-0.039196
1.201,-0.0360489
1.202,-0.0340462
1.203,-0.0329018
1.204,-0.0323296
1.205,-0.0311852
1.206,-0.0308991
1.207,-0.0311852
1.208,-0.0317574
1.209,-0.0329018
1.21,-0.0337601
1.211,-0.0337601
1.212,-0.033474
1.213,-0.0331879
1.214,-0.0320435
1.215,-0.0326157
1.216,-0.0337601
1.217,-0.0337601
1.218,-0.033474
1.219,-0.0308991
1.22,-0.0248909
1.221,-0.01688
1.222,-0.0074387
1.223,0.0031471
1.224,0.0165939
1.225,0.0331879
1.226,0.0526428
1.227,0.0729561
1.228,0.0926972
1.229,0.1110077
1.23,0.1310349
1.231,0.1522064
1.232,0.1748085
1.233,0.198555
1.234,0.2217293
1.235,0.2426148
1.236,0.260067
1.237,0.2749444
1.238,0.287819
1.239,0.2986908
1.24,0.3064156
1.241,0.3107072
1.242,0.3129959
1.243,0.3141404
1.244,0.3152848
1.245,0.3172875
1.246,0.3204346
1.247,0.3227234
1.248,0.3224373
1.249,0.3201485
1.25,0.3152848
1.251,0.3089905
1.252,0.3021241
1.253,0.2938271
1.254,0.2818108
1.255,0.2689362
1.256,0.2552033
1.257,0.2411843
1.258,0.2268791
1.259,0.2114296
1.26,0.1954079
1.261,0.1793862
1.262,0.1625061
1.263,0.14534
1.264,0.1290321
1.265,0.1135826
1.266,0.0998497
1.267,0.0878334
1.268,0.0786782
1.269,0.0718117
1.27,0.0678063
1.271,0.0675202
1.272,0.0689507
1.273,0.0703812
1.274,0.0723839
1.275,0.0758171
1.276,0.0801087
1.277,0.0841141
1.278,0.0861168
1.279,0.0884056
1.28,0.08955
1.281,0.0901222
1.282,0.08955
1.283,0.0881195
1.284,0.0872612
1.285,0.0852585
1.286,0.0823975
1.287,0.0798226
1.288,0.0763893
1.289,0.0723839
1.29,0.0692368
1.291,0.066948
1.292,0.0640869
1.293,0.0600815
1.294,0.0552178
1.295,0.0520706
1.296,0.050354
1.297,0.0497818
1.298,0.0494957
1.299,0.0489235
1.3,0.0480652
1.301,0.0472069
1.302,0.0466347
1.303,0.0457764
1.304,0.044632
1.305,0.0432015
1.306,0.0409126
1.307,0.0371933
1.308,0.033474
1.309,0.0317574
